통계표,계정항목,금융기관 유형코드,단위,변환,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11
"7.5.1. 신용카드","    개인 일반구매 이용건수","합계","천건 ","원자료","706,716","662,918","752,972","749,470","814,053","795,910","817,237","847,721","789,315","829,861","807,458","826,209","802,459","742,860","853,748","845,376","928,686","896,647","930,901","947,762","923,660","901,940","896,162","905,382","912,135","798,827","926,882","950,517","1,009,404","985,667","1,045,491","1,047,272","981,011","1,040,501","1,001,441","1,022,748","1,033,030","930,170","1,050,026","1,080,868","1,144,052","1,097,518","1,170,060","1,169,969","1,100,102","1,170,220","1,125,317","1,165,717","1,104,642","981,542","1,002,266","1,006,283","1,101,262","1,109,106","1,114,504","1,114,578","1,056,265","1,089,019","1,085,930","1,027,203","983,740","949,995","1,129,336","1,123,763","1,176,625","1,175,141","1,189,660","1,190,087","1,156,357","1,209,462","1,217,753","1,189,355","1,142,523","1,030,847","1,192,433","1,228,431","1,343,174","1,290,455","1,328,767","1,365,658","1,275,931","1,349,002","1,297,870"
"7.5.1. 신용카드","    개인 일반구매 이용금액","합계","백만원 ","원자료","26,585,857","24,984,803","27,705,502","27,166,351","29,106,792","28,514,908","29,392,458","29,590,619","28,239,865","29,467,460","29,016,109","31,203,072","30,269,105","28,093,044","31,226,162","30,210,024","32,166,129","31,035,458","32,486,481","32,344,359","32,508,643","31,235,000","31,990,444","33,131,025","32,959,258","30,028,358","33,678,133","33,158,920","34,880,180","33,515,125","35,545,573","34,843,771","34,278,461","35,467,706","34,910,449","36,217,033","36,015,807","32,021,687","36,304,799","35,800,026","37,974,781","36,160,164","37,718,570","37,672,055","36,166,095","37,993,944","38,163,377","39,980,591","38,427,186","33,470,170","33,537,215","34,256,743","37,940,563","37,286,494","37,623,749","37,098,223","37,172,476","37,254,433","37,757,608","36,942,093","36,422,995","34,798,177","39,786,986","39,252,266","41,103,952","40,227,185","41,342,730","40,165,034","40,603,678","42,468,702","43,035,867","42,836,827","42,796,382","37,679,324","43,128,339","44,383,717","47,523,800","45,899,455","47,711,654","47,700,792","46,248,330","47,820,124","47,497,499"
